"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M","Darren Fletcher",3500,"HUD vs STK 10:00AM ET",5.900,"STK"
"GK","Erwin Mulder",3500,"LIV vs SWA 12:30PM ET",0,"SWA"
"GK","Kristoffer Nordfeldt",3500,"LIV vs SWA 12:30PM ET",0,"SWA"
"GK","Adam Bogdan",3500,"LIV vs SWA 12:30PM ET",0,"LIV"
"GK","Danny Ward",3500,"LIV vs SWA 12:30PM ET",0,"LIV"
"D","Dejan Lovren",3500,"LIV vs SWA 12:30PM ET",3.298,"LIV"
"M","Jordan Henderson",3500,"LIV vs SWA 12:30PM ET",5.180,"LIV"
"GK","Adam Legzdins",3500,"MU vs BUR 10:00AM ET",0,"BUR"
"GK","Joel Pereira",3500,"MU vs BUR 10:00AM ET",0,"MU"
"D","Phil Bardsley",3500,"MU vs BUR 10:00AM ET",6.150,"BUR"
"GK","Paulo Gazzaniga",3500,"TOT vs SOU 07:30AM ET",16.000,"TOT"
"GK","Alfie Whiteman",3500,"TOT vs SOU 07:30AM ET",0,"TOT"
"GK","Stuart Taylor",3500,"TOT vs SOU 07:30AM ET",0,"SOU"
"D","Toby Alderweireld",3500,"TOT vs SOU 07:30AM ET",3.611,"TOT"
"M","Josh Sims",3500,"TOT vs SOU 07:30AM ET",0,"SOU"
"GK","Daniel Bachmann",3500,"WAT vs LEI 10:00AM ET",0,"WAT"
"GK","Alex Palmer",3500,"WBA vs EVE 10:00AM ET",0,"WBA"
"GK","Mateusz Hewelt",3500,"WBA vs EVE 10:00AM ET",0,"EVE"
"M","Sam Field",3500,"WBA vs EVE 10:00AM ET",4.750,"WBA"
"D","Simon Francis",3400,"BOU vs WHU 10:00AM ET",3.250,"BOU"
"M","Harry Arter",3400,"BOU vs WHU 10:00AM ET",3.891,"BOU"
"D","Ezequiel Schelotto",3400,"CHE vs BHA 10:00AM ET",1.667,"BHA"
"D","Glen Johnson",3400,"HUD vs STK 10:00AM ET",2.417,"STK"
"M","Ibrahim Afellay",3400,"HUD vs STK 10:00AM ET",-0.100,"STK"
"D","Ragnar Klavan",3400,"LIV vs SWA 12:30PM ET",3.485,"LIV"
"M","Sam Clucas",3400,"LIV vs SWA 12:30PM ET",5.125,"SWA"
"D","Marcos Rojo",3400,"MU vs BUR 10:00AM ET",-0.600,"MU"
"D","Davinson Sanchez",3400,"TOT vs SOU 07:30AM ET",3.060,"TOT"
"D","Harry Maguire",3400,"WAT vs LEI 10:00AM ET",5.434,"LEI"
"M","Roberto Pereyra",3400,"WAT vs LEI 10:00AM ET",3.135,"WAT"
"D","Craig Dawson",3400,"WBA vs EVE 10:00AM ET",4.333,"WBA"
"M","Aaron Lennon",3400,"WBA vs EVE 10:00AM ET",1.800,"EVE"
"D","Liam Rosenior",3300,"CHE vs BHA 10:00AM ET",2.083,"BHA"
"M","Daniel Drinkwater",3300,"CHE vs BHA 10:00AM ET",1.389,"CHE"
"D","Ryan Shawcross",3300,"HUD vs STK 10:00AM ET",4.942,"STK"
"M","Charlie Adam",3300,"HUD vs STK 10:00AM ET",2.083,"STK"
"D","Matthew Lowton",3300,"MU vs BUR 10:00AM ET",6.115,"BUR"
"D","Victor Lindelof",3300,"MU vs BUR 10:00AM ET",2.088,"MU"
"M","Moussa Sissoko",3300,"TOT vs SOU 07:30AM ET",2.729,"TOT"
"M","Etienne Capoue",3300,"WAT vs LEI 10:00AM ET",3.375,"WAT"
"M","Wilfred Ndidi",3300,"WAT vs LEI 10:00AM ET",5.841,"LEI"
