"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M/F","Luciano Narsingh",4400,"SWA vs CRY 10:00AM ET",2.333,"SWA"
"D","DeAndre Yedlin",4400,"WHU vs NEW 10:00AM ET",4.828,"NEW"
"F","Ayoze Perez",4400,"WHU vs NEW 10:00AM ET",4.544,"NEW"
"M/F","Jerome Sinclair",4300,"BHA vs WAT 10:00AM ET",0,"WAT"
"F","Sam Vokes",4300,"BUR vs TOT 12:30PM ET",4.203,"BUR"
"GK","Boaz Myhill",4300,"STK vs WBA 10:00AM ET",0.000,"WBA"
"D","Erik Pieters",4300,"STK vs WBA 10:00AM ET",4.944,"STK"
"M","Ramadan Sobhi",4300,"STK vs WBA 10:00AM ET",3.672,"STK"
"D","Pape Souare",4300,"SWA vs CRY 10:00AM ET",0,"CRY"
"M","Nathan Dyer",4300,"SWA vs CRY 10:00AM ET",3.250,"SWA"
"F","Freddie Ladapo",4300,"SWA vs CRY 10:00AM ET",1.500,"CRY"
"GK","Robert Elliot",4300,"WHU vs NEW 10:00AM ET",5.071,"NEW"
"F","Isaiah Brown",4200,"BHA vs WAT 10:00AM ET",1.104,"BHA"
"D","Charlie Daniels",4200,"MCI vs BOU 10:00AM ET",7.139,"BOU"
"D","Josh Tymon",4200,"STK vs WBA 10:00AM ET",4.000,"STK"
"D","Kyle Naughton",4200,"SWA vs CRY 10:00AM ET",6.618,"SWA"
"M","Jason Puncheon",4200,"SWA vs CRY 10:00AM ET",2.833,"CRY"
"GK","Karl Darlow",4200,"WHU vs NEW 10:00AM ET",2.500,"NEW"
"M","Jonjo Shelvey",4200,"WHU vs NEW 10:00AM ET",4.192,"NEW"
"D","Markus Suttner",4100,"BHA vs WAT 10:00AM ET",4.833,"BHA"
"M/F","Andre Carrillo",4100,"BHA vs WAT 10:00AM ET",3.917,"WAT"
"GK","Nick Pope",4100,"BUR vs TOT 12:30PM ET",10.800,"BUR"
"M","Scott Arfield",4100,"BUR vs TOT 12:30PM ET",5.818,"BUR"
"M/F","Jonathan Walters",4100,"BUR vs TOT 12:30PM ET",0.875,"BUR"
"D","John Stones",4100,"MCI vs BOU 10:00AM ET",5.472,"MCI"
"M","Sam Clucas",4100,"SWA vs CRY 10:00AM ET",5.125,"SWA"
"M/F","Lee Chung-yong",4100,"SWA vs CRY 10:00AM ET",3.250,"CRY"
"D","Pablo Zabaleta",4100,"WHU vs NEW 10:00AM ET",5.868,"WHU"
"M","Jacob Murphy",4100,"WHU vs NEW 10:00AM ET",3.813,"NEW"
"D","Ezequiel Schelotto",4000,"BHA vs WAT 10:00AM ET",1.667,"BHA"
"GK","Tom Heaton",4000,"BUR vs TOT 12:30PM ET",3.250,"BUR"
"GK","Anders Lindegaard",4000,"BUR vs TOT 12:30PM ET",0,"BUR"
"M"," Fernandinho",4000,"MCI vs BOU 10:00AM ET",4.481,"MCI"
"F","Benik Afobe",4000,"MCI vs BOU 10:00AM ET",1.577,"BOU"
"GK","Jonas Lossl",4000,"SOU vs HUD 10:00AM ET",5.500,"HUD"
"D","Allan Nyom",4000,"STK vs WBA 10:00AM ET",6.233,"WBA"
"M","Joe Allen",4000,"STK vs WBA 10:00AM ET",5.300,"STK"
"M","Oliver Burke",4000,"STK vs WBA 10:00AM ET",2.000,"WBA"
"M","Sullay Kaikai",4000,"SWA vs CRY 10:00AM ET",1.500,"CRY"
"D","Massadio Haidara",4000,"WHU vs NEW 10:00AM ET",0,"NEW"
"D","Liam Rosenior",3900,"BHA vs WAT 10:00AM ET",2.083,"BHA"
"D","Stephen Ward",3900,"BUR vs TOT 12:30PM ET",6.924,"BUR"
"GK","Joel Coleman",3900,"SOU vs HUD 10:00AM ET",0,"HUD"
"D","Florent Hadergjonaj",3900,"SOU vs HUD 10:00AM ET",4.821,"HUD"
"M","Grzegorz Krychowiak",3900,"STK vs WBA 10:00AM ET",5.679,"WBA"
"D","Jeffrey Schlupp",3900,"SWA vs CRY 10:00AM ET",4.583,"CRY"
"D","Chancel Mbemba",3900,"WHU vs NEW 10:00AM ET",5.568,"NEW"
"M","Rolando Aarons",3900,"WHU vs NEW 10:00AM ET",2.833,"NEW"
"D","Gaetan Bong",3800,"BHA vs WAT 10:00AM ET",4.861,"BHA"
"D","Jan Vertonghen",3800,"BUR vs TOT 12:30PM ET",5.913,"TOT"
"D","Adam Smith",3800,"MCI vs BOU 10:00AM ET",4.344,"BOU"
"D","Eliaquim Mangala",3800,"MCI vs BOU 10:00AM ET",1.556,"MCI"
"F","Lys Mousset",3800,"MCI vs BOU 10:00AM ET",1.542,"BOU"
"D","Scott Malone",3800,"SOU vs HUD 10:00AM ET",4.833,"HUD"
"M","Mario Lemina",3800,"SOU vs HUD 10:00AM ET",5.317,"SOU"
"D","Kurt Zouma",3800,"STK vs WBA 10:00AM ET",5.391,"STK"
"D","Angel Rangel",3800,"SWA vs CRY 10:00AM ET",0.000,"SWA"
"D","Martin Kelly",3800,"SWA vs CRY 10:00AM ET",4.833,"CRY"
"D","Sam Byram",3800,"WHU vs NEW 10:00AM ET",0,"WHU"
"D","Paul Dummett",3800,"WHU vs NEW 10:00AM ET",0.000,"NEW"
"M","Henri Saivet",3800,"WHU vs NEW 10:00AM ET",0,"NEW"
"D"," Bruno",3700,"BHA vs WAT 10:00AM ET",3.469,"BHA"
"F","Sam Baldock",3700,"BHA vs WAT 10:00AM ET",0,"BHA"
"F","James Tilley",3700,"BHA vs WAT 10:00AM ET",0,"BHA"
"F","Aaron Connolly",3700,"BHA vs WAT 10:00AM ET",0,"BHA"
"D","Phil Bardsley",3700,"BUR vs TOT 12:30PM ET",6.150,"BUR"
"F","Nahki Wells",3700,"BUR vs TOT 12:30PM ET",0,"BUR"
"F","Kazaiah Sterling",3700,"BUR vs TOT 12:30PM ET",0.000,"TOT"
